dataset,model,variant,n,error_rate,words_mean,fk_grade_mean,flesch_mean,fog_mean,smog_mean,rougeL_mean,trigram_copy_mean,compression_mean
arxiv,dream,adult_non_technical,200,0.0,95.91,10.570443019461244,52.86785110310039,14.264752219940874,13.00802194751591,0.3364408800382655,0.159485861095339,0.8103359988044062
arxiv,dream,adult_technical,200,0.0,126.335,15.843688399339532,23.664960739043803,20.01112786584653,17.181810307549487,0.8278472964263777,0.6519373403064929,1.0004522182947004
arxiv,dream,easy_general,200,0.0,84.225,9.481946013121394,58.65807762575986,12.83635228408932,11.960985453579264,0.2765269150350967,0.1111125428715098,0.7461514200547533
arxiv,dream,original,200,0.0,127.53,15.90240315222333,26.27332082560854,20.01611889433488,17.132067845153248,1.0,1.0,1.0
arxiv,llada,adult_non_technical,200,0.0,127.705,10.382989518082958,53.1085314053252,13.801149244542213,12.739911710639568,0.2772029243523719,0.0926192210767069,1.1058106584764318
arxiv,llada,adult_technical,200,0.0,147.695,16.30825910478372,19.195790534908824,20.693432362478845,17.649332010132564,0.6874214224819122,0.4204835475039341,1.197541650239878
arxiv,llada,easy_general,200,0.0,115.23,9.783046082562722,55.49235254234841,13.25299195984548,12.315567994287116,0.2717081557730598,0.1021202436919321,1.0303819681731416
arxiv,llada,original,200,0.0,127.53,15.90240315222333,26.27332082560854,20.01611889433488,17.132067845153248,1.0,1.0,1.0
arxiv,llama,adult_non_technical,200,0.0,240.58,12.737674890954516,45.56887043679287,16.442686805190764,14.634539028306529,0.2279938786001446,0.0386572169487242,2.217811590146737
arxiv,llama,adult_technical,200,0.0,185.445,17.386514883398593,18.796209233774405,21.64160101555006,18.344826821797025,0.5456755984890066,0.3055186467793168,1.7086609702030662
arxiv,llama,easy_general,200,0.0,221.52,11.631874335809874,51.64113182772733,14.917177812424242,13.43485730188782,0.2259175385239686,0.0393514477830574,2.0277529500916547
arxiv,llama,original,200,0.0,127.53,15.90240315222333,26.27332082560854,20.01611889433488,17.132067845153248,1.0,1.0,1.0
arxiv,qwen,adult_non_technical,200,0.0,219.765,12.554232891096293,45.46228837619597,15.919636566064955,14.252295280474703,0.2423587391281849,0.0393464413057203,1.946612257362308
arxiv,qwen,adult_technical,200,0.0,135.235,17.581192617726476,13.05671379327408,22.026328096822827,18.54971382943273,0.5990699654209314,0.2809985952242673,1.0864511709622104
arxiv,qwen,easy_general,200,0.0,178.3,10.438222366373452,54.18480156722708,13.589831783238912,12.611538651996236,0.257127175648807,0.0469156562356384,1.5803598245852597
arxiv,qwen,original,200,0.0,127.53,15.90240315222333,26.27332082560854,20.01611889433488,17.132067845153248,1.0,1.0,1.0
wiki,dream,adult_non_technical,200,0.0,149.8,11.358691804928268,49.994985303274326,14.26710964939417,12.59012578914349,0.5462893756866353,0.3220166510904014,0.9905326517546056
wiki,dream,adult_technical,200,0.0,164.25,14.343250571829506,31.754765293684013,17.757817851177318,15.05741101600569,0.7547392826853853,0.5778390618864242,1.144198185699836
wiki,dream,easy_general,200,0.0,142.18,10.58681080314253,53.28502210827296,13.348192237251654,11.852279474675813,0.5120037349430725,0.2838542877744611,0.9690320122041912
wiki,dream,original,200,0.0,164.89,19.416595785626672,19.479231514974867,22.741950244705805,17.262694779527326,1.0,1.0,1.0
wiki,llada,adult_non_technical,200,0.0,181.015,9.483268823402645,53.99094906044924,12.457041019641576,11.830848367389237,0.5108254318850746,0.2879468566573721,1.3508893276586136
wiki,llada,adult_technical,200,0.0,203.71,12.819797215713152,33.300081851325714,16.39581249182702,14.416910045523752,0.6348401042053097,0.3954196995378787,1.4897023112350671
wiki,llada,easy_general,200,0.0,147.53,9.41036421866948,54.955015534462326,12.138062662009068,11.525032877081712,0.493871894555498,0.2910164392498389,1.0375095060640165
wiki,llada,original,200,0.0,164.89,19.416595785626672,19.479231514974867,22.741950244705805,17.262694779527326,1.0,1.0,1.0
wiki,llama,adult_non_technical,200,0.0,238.295,11.296721734639505,48.72946904497091,14.53416225746012,13.386148999570551,0.3295745385737521,0.1090585728832152,2.0055937466363947
wiki,llama,adult_technical,200,0.0,213.52,16.46308876031976,23.39754226921647,20.33302549215765,16.842587410889273,0.5041159545891193,0.2338663114118134,1.6828476091353874
wiki,llama,easy_general,200,0.0,212.56,9.89810957331787,56.40158324656547,12.760886638152297,11.951564851965584,0.3656463744407279,0.1208781495788252,1.656569193843948
wiki,llama,original,200,0.0,164.89,19.416595785626672,19.479231514974867,22.741950244705805,17.262694779527326,1.0,1.0,1.0
wiki,qwen,adult_non_technical,200,0.0,218.925,10.378897103698176,51.65805216049902,13.285294112312853,12.306621660259582,0.3874122356984158,0.1164949697022411,1.6636807278000216
wiki,qwen,adult_technical,200,0.0,196.225,14.052585044023855,26.27004479908177,17.76887719350684,15.33720884916979,0.5246201878283866,0.2441875912874689,1.4654197751950369
wiki,qwen,easy_general,200,0.0,180.28,8.866042542480361,57.20714149312465,11.449351724041646,11.033893760863698,0.4154327959217291,0.1365234569651336,1.3295228440979392
wiki,qwen,original,200,0.0,164.89,19.416595785626672,19.479231514974867,22.741950244705805,17.262694779527326,1.0,1.0,1.0
